text,kind_effect,task,object,physical_effect,id
"O/a ""Produzir"" é um/uma Aplicação, que no/na Campo causa  Matriz de Halbach.",Aplicação,Produzir,Campo, Matriz de Halbach,bc4fbc3f-ee35-4a40-b0a5-5fe7d6d15191
"O/a ""Purificar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Purificar,Sólido dividido, Matriz de Halbach,aac564ea-2796-4df4-a633-e5740992dd95
"O/a ""Remover"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Remover,Sólido dividido, Matriz de Halbach,c8698506-96ef-4fcb-85d1-a9c305a73db9
"O/a ""Segurar"" é um/uma Aplicação, que no/na Líquido causa  Matriz de Halbach.",Aplicação,Segurar,Líquido, Matriz de Halbach,96293731-7584-4739-b2f9-bff2f79cc8f9
"O/a ""Segurar"" é um/uma Aplicação, que no/na Sólido causa  Matriz de Halbach.",Aplicação,Segurar,Sólido, Matriz de Halbach,39cdfb9f-0a2c-4f7a-8faa-f196b791c237
"O/a ""Segurar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Segurar,Sólido dividido, Matriz de Halbach,6d80c4eb-cba0-4d15-969a-b7f318b9f82e
"O/a ""Separar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Separar,Sólido dividido, Matriz de Halbach,b5f6d7f1-a38e-4037-a1c3-c3866e566f78
"O/a ""Absorver"" é um/uma Aplicação, que no/na Campo causa Ablação.",Aplicação,Absorver,Campo,Ablação,ab85279f-31ae-4732-a075-1d668de54b4f
"O/a ""Comprimir"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Comprimir,Sólido,Ablação,286d84a6-1aa4-405a-beb2-e5237a423a1e
"O/a ""Desmembrar"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Desmembrar,Sólido,Ablação,17aceb63-fd1c-4c77-a595-e763a8151440
"O/a ""Destruir"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Destruir,Sólido,Ablação,278d884b-2ff6-453e-81a0-7121b101762e
"O/a ""Destruir"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação.",Aplicação,Destruir,Sólido dividido,Ablação,e0d6e4a9-153c-4f05-a9b6-f57c26a9c63a
"O/a ""Esfriar"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Esfriar,Sólido,Ablação,b1b8224c-9eb1-4242-9fe5-dd410e84b537
"O/a ""Evaporar"" é um/uma Aplicação, que no/na Líquido causa Ablação.",Aplicação,Evaporar,Líquido,Ablação,6efd5a46-662d-4d2a-bb74-3b77a11e0908
"O/a ""Evaporar"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Evaporar,Sólido,Ablação,b9998433-14da-41bb-bdcf-cf6581c75c03
"O/a ""Extrair"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação.",Aplicação,Extrair,Sólido dividido,Ablação,ad179392-3852-4871-9e86-c6d5698ab22c
"O/a ""Limpar"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Limpar,Sólido,Ablação,15526130-d764-4707-a976-cf5d12b15ac8
"O/a ""Mudar de fase"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Mudar de fase,Sólido,Ablação,c0422a61-ea00-438d-a961-e4f51a91c0cc
"O/a ""Produzir"" é um/uma Aplicação, que no/na Gás causa Ablação.",Aplicação,Produzir,Gás,Ablação,f0a7bb44-812b-41d7-b699-6460bcbeaa26
"O/a ""Produzir"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação.",Aplicação,Produzir,Sólido dividido,Ablação,de0fe66a-4a3b-4f7a-927b-68a9730711c6
"O/a ""Proteger"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Proteger,Sólido,Ablação,50a29780-63ef-495f-8a08-e9f14aa58166
"O/a ""Remover"" é um/uma Aplicação, que no/na Sólido causa Ablação.",Aplicação,Remover,Sólido,Ablação,03377180-bd03-4156-b979-7267c38a1b42
"O/a ""Remover"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação.",Aplicação,Remover,Sólido dividido,Ablação,67b3a747-9734-47e4-a998-f6797dda3902
"O/a ""Resistir"" é um/uma Aplicação, que no/na Campo causa Ablação.",Aplicação,Resistir,Campo,Ablação,7c782192-86cb-4d3b-b522-37bdd11e20f8
"O/a ""Absorver"" é um/uma Aplicação, que no/na Campo causa Ablação por laser.",Aplicação,Absorver,Campo,Ablação por laser,3221f379-a05c-4d37-b0b3-9267aef872b4
"O/a ""Aquecer"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Aquecer,Sólido dividido,Ablação por laser,1f72f2e5-77e3-4cf3-b358-61689ec49021
"O/a ""Derreter"" é um/uma Aplicação, que no/na Sólido causa Ablação por laser.",Aplicação,Derreter,Sólido,Ablação por laser,cdb840dd-e6db-4999-91fc-25d1933617a4
"O/a ""Derreter"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Derreter,Sólido dividido,Ablação por laser,d71c7133-4009-4d3c-8710-3d45535e0042
"O/a ""Desmembrar"" é um/uma Aplicação, que no/na Líquido causa Ablação por laser.",Aplicação,Desmembrar,Líquido,Ablação por laser,49ab39c6-6248-4e6f-9eb6-8c12db2b2734
"O/a ""Desmembrar"" é um/uma Aplicação, que no/na Sólido causa Ablação por laser.",Aplicação,Desmembrar,Sólido,Ablação por laser,90b903b5-7e7f-46cd-ba96-30e299b57dab
"O/a ""Desmembrar"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Desmembrar,Sólido dividido,Ablação por laser,74870464-ee96-466b-89de-3f7548f4bab4
"O/a ""Destruir"" é um/uma Aplicação, que no/na Líquido causa Ablação por laser.",Aplicação,Destruir,Líquido,Ablação por laser,37231248-955e-4445-9e55-adcfdb500a24
"O/a ""Destruir"" é um/uma Aplicação, que no/na Sólido causa Ablação por laser.",Aplicação,Destruir,Sólido,Ablação por laser,6341bdf4-35aa-49bd-888c-4cf2c614b8f4
"O/a ""Destruir"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Destruir,Sólido dividido,Ablação por laser,72070a47-5e99-4c95-b9ec-2638cf9f7218
"O/a ""Evaporar"" é um/uma Aplicação, que no/na Líquido causa Ablação por laser.",Aplicação,Evaporar,Líquido,Ablação por laser,7e2139f5-697a-4dcc-b4ca-7160a18929da
"O/a ""Evaporar"" é um/uma Aplicação, que no/na Sólido causa Ablação por laser.",Aplicação,Evaporar,Sólido,Ablação por laser,3ba1fe9c-ce90-414e-afea-c998d56f2556
"O/a ""Evaporar"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Evaporar,Sólido dividido,Ablação por laser,2ba0b97f-43e3-4db0-a518-82078efa2306
"O/a ""Limpar"" é um/uma Aplicação, que no/na Líquido causa Ablação por laser.",Aplicação,Limpar,Líquido,Ablação por laser,23c83ec3-38b0-4f13-8630-7ebfb5f995a3
"O/a ""Limpar"" é um/uma Aplicação, que no/na Sólido causa Ablação por laser.",Aplicação,Limpar,Sólido,Ablação por laser,94bddddf-4a8e-417a-94a4-0d437d1d77e9
"O/a ""Mudar de fase"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Mudar de fase,Sólido dividido,Ablação por laser,fe17e829-f4e5-4e0d-a835-52e1841fd356
"O/a ""Produzir"" é um/uma Aplicação, que no/na Gás causa Ablação por laser.",Aplicação,Produzir,Gás,Ablação por laser,503c339d-5757-4d03-9641-b129f53150d6
"O/a ""Remover"" é um/uma Aplicação, que no/na Líquido causa Ablação por laser.",Aplicação,Remover,Líquido,Ablação por laser,f9c21eb9-41d4-408b-ac38-3b288b820b7f
"O/a ""Remover"" é um/uma Aplicação, que no/na Sólido causa Ablação por laser.",Aplicação,Remover,Sólido,Ablação por laser,53594dae-a4ab-4a71-a2ab-f5ef5e817c5c
"O/a ""Remover"" é um/uma Aplicação, que no/na Sólido dividido causa Ablação por laser.",Aplicação,Remover,Sólido dividido,Ablação por laser,9699fd5a-5df8-4b05-bee2-cbb13518ce63
"O/a ""Aquecer"" é um/uma Efeito, que no/na Sólido causa Abrasão.",Efeito,Aquecer,Sólido,Abrasão,75794aff-48b1-4942-a69a-59c006cce2af
"O/a ""Comprimir"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Comprimir,Sólido dividido,Abrasão,7f0412d2-c220-4ce7-9934-7d3f785d550d
"O/a ""Concentrar"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Concentrar,Sólido dividido,Abrasão,cbe106e0-5985-4b47-9c06-e1443074fc45
"O/a ""Derreter"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Derreter,Sólido dividido,Abrasão,d3247a9d-a331-4408-8d7d-410c5d9ce16d
"O/a ""Desmembrar"" é um/uma Efeito, que no/na Sólido causa Abrasão.",Efeito,Desmembrar,Sólido,Abrasão,02a08745-36ed-4315-bc78-aa9409034ab5
"O/a ""Desmembrar"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Desmembrar,Sólido dividido,Abrasão,54a4454e-beaf-4724-a04a-fe985ad4c6c2
"O/a ""Destruir"" é um/uma Efeito, que no/na Sólido causa Abrasão.",Efeito,Destruir,Sólido,Abrasão,b7e90574-f539-4556-8706-8c8276cc6f52
"O/a ""Destruir"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Destruir,Sólido dividido,Abrasão,796750a4-dd55-4670-af41-06ff1a17de0c
"O/a ""Limpar"" é um/uma Efeito, que no/na Sólido causa Abrasão.",Efeito,Limpar,Sólido,Abrasão,49c386b6-8dad-466e-8025-9a258316e1cf
"O/a ""Limpar"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Limpar,Sólido dividido,Abrasão,177f9609-d6e6-4330-a8f0-4270c8162142
"O/a ""Produzir"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Produzir,Sólido dividido,Abrasão,dee299ea-8a71-40f1-981b-8244f339f1ac
"O/a ""Remover"" é um/uma Efeito, que no/na Sólido causa Abrasão.",Efeito,Remover,Sólido,Abrasão,ce41c87f-cc7c-4615-b7df-1622af45fb05
"O/a ""Remover"" é um/uma Efeito, que no/na Sólido dividido causa Abrasão.",Efeito,Remover,Sólido dividido,Abrasão,2f0a0ad4-b148-449a-9c68-5edc58b8c3df
"O/a ""Separar"" é um/uma Efeito, que no/na Sólido causa Abrasão.",Efeito,Separar,Sólido,Abrasão,3a104796-06e2-45da-b464-f4474cfd3bbe
"O/a ""Mover"" é um/uma Efeito, que no/na Líquido causa Absorção.",Efeito,Mover,Líquido,Absorção,204b9d96-e683-4ed5-9152-831b8a07eccf
"O/a ""Polir"" é um/uma Efeito, que no/na Gás causa Absorção.",Efeito,Polir,Gás,Absorção,293b47a3-44fb-4b4a-914b-5394721e0e48
"O/a ""Extrair"" é um/uma Aplicação, que no/na Gás causa Absorção.",Aplicação,Extrair,Gás,Absorção,6965531a-43ab-4e14-92ef-f67b1b19fc41
"O/a ""Extrair"" é um/uma Aplicação, que no/na Líquido causa Absorção.",Aplicação,Extrair,Líquido,Absorção,634dcfb2-8d41-4b45-bdca-7e5e6605281a
"O/a ""Remover"" é um/uma Aplicação, que no/na Gás causa Absorção.",Aplicação,Remover,Gás,Absorção,27ff6ed2-3f14-4911-9b33-915115f390f7
"O/a ""Separar"" é um/uma Aplicação, que no/na Gás causa Absorção.",Aplicação,Separar,Gás,Absorção,f127588a-a90c-4787-b94a-e4369f7944c2
"O/a ""Vibrar"" é um/uma Aplicação, que no/na Líquido causa Absorção.",Aplicação,Vibrar,Líquido,Absorção,c9c459a5-76ce-4469-8126-91ab5c074c43
"O/a ""Absorver"" é um/uma Efeito, que no/na Campo causa Absorção (física).",Efeito,Absorver,Campo,Absorção (física),fe13d2fc-23e7-4c3b-ac85-994850d06501
"O/a ""Aquecer"" é um/uma Efeito, que no/na Gás causa Absorção (física).",Efeito,Aquecer,Gás,Absorção (física),7aea1c5d-13ea-4405-b04e-047787fd0ec4
"O/a ""Aquecer"" é um/uma Efeito, que no/na Líquido causa Absorção (física).",Efeito,Aquecer,Líquido,Absorção (física),a4be045b-a0f0-4b98-8bfa-f64f93f2cb90
"O/a ""Aquecer"" é um/uma Efeito, que no/na Sólido causa Absorção (física).",Efeito,Aquecer,Sólido,Absorção (física),d1ac1c11-d351-4771-8351-7e1859b04e90
"O/a ""Aquecer"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Aquecer,Sólido dividido,Absorção (física),651e5ee5-3e45-4d48-9b8d-d11ebc5fbbbe
"O/a ""Derreter"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Derreter,Sólido dividido,Absorção (física),87f1b090-b402-4e71-baf9-b3683227006b
"O/a ""Desmembrar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Desmembrar,Sólido dividido,Absorção (física),3a2dbf5f-fd3b-4a66-ae9d-696064e05e96
"O/a ""Destruir"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Destruir,Sólido dividido,Absorção (física),bb9ebf5e-e034-4fbe-bd34-64e6dc3eed35
"O/a ""Detectar"" é um/uma Efeito, que no/na Gás causa Absorção (física).",Efeito,Detectar,Gás,Absorção (física),62cae8ef-9569-4d89-b903-27700ff5ea31
"O/a ""Detectar"" é um/uma Efeito, que no/na Líquido causa Absorção (física).",Efeito,Detectar,Líquido,Absorção (física),db484a74-13c9-42ac-94b3-306b268c8c71
"O/a ""Detectar"" é um/uma Efeito, que no/na Sólido causa Absorção (física).",Efeito,Detectar,Sólido,Absorção (física),2a89fc44-85b7-491f-9971-5d2e47e9d00a
"O/a ""Detectar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Detectar,Sólido dividido,Absorção (física),fccb6c60-4d1d-4d11-b81f-a037787c09bb
"O/a ""Evaporar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Evaporar,Sólido dividido,Absorção (física),d5ebb3cf-929b-4a26-b96b-68f346ca06e1
"O/a ""Limpar"" é um/uma Efeito, que no/na Campo causa Absorção (física).",Efeito,Limpar,Campo,Absorção (física),bb40cca5-fc01-411e-9bc4-49fe61185678
"O/a ""Mudar de fase"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Mudar de fase,Sólido dividido,Absorção (física),18fd663d-87f1-456b-aed6-c7fe50fed2b2
"O/a ""Produzir"" é um/uma Efeito, que no/na Campo causa Absorção (física).",Efeito,Produzir,Campo,Absorção (física),90039f50-0028-40c1-9a51-0447c7597500
"O/a ""Purificar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Purificar,Sólido dividido,Absorção (física),6a6da2c0-f490-4729-9178-0ca873eeba30
"O/a ""Remover"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Remover,Sólido dividido,Absorção (física),788c81ca-d86b-4ee8-9584-3b04aae53020
"O/a ""Secar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (física).",Efeito,Secar,Sólido dividido,Absorção (física),3e80ea1a-4d01-46e9-b8f9-e8894ae9d7d2
"O/a ""Absorver"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Absorver,Gás,Absorção (química),54faf658-e015-4922-b572-f1b4e663f0d3
"O/a ""Absorver"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Absorver,Líquido,Absorção (química),9df39e82-0cc9-4747-8298-e4145cb24758
"O/a ""Acumular"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Acumular,Gás,Absorção (química),8584b64a-6f61-48da-8a30-ebd7b0043d9c
"O/a ""Acumular"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Acumular,Líquido,Absorção (química),d404fd2f-3cc2-4d3a-8ffb-a8e4190c48ba
"O/a ""Acumular"" é um/uma Efeito, que no/na Sólido causa Absorção (química).",Efeito,Acumular,Sólido,Absorção (química),dea3c4a0-46c6-4bfe-a107-875e97640240
"O/a ""Acumular"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Acumular,Sólido dividido,Absorção (química),624cb75d-8e78-4f0b-8cef-7322212be843
"O/a ""Depositar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Depositar,Sólido dividido,Absorção (química),ac093ba5-2a82-4a97-bce3-bc60b8a5f5e4
"O/a ""Detectar"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Detectar,Gás,Absorção (química),f59e783e-92ae-4b75-8c8c-285bbf86239d
"O/a ""Detectar"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Detectar,Líquido,Absorção (química),2422c7ff-3bbc-42ba-9233-c64b4c05cc1b
"O/a ""Diluir"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Diluir,Sólido dividido,Absorção (química),7b0e15b5-fd8f-4f4f-87aa-c6fcc3fcfb8e
"O/a ""Expandir"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Expandir,Gás,Absorção (química),01f02f38-c46b-42c8-8417-55c2547a6e47
"O/a ""Expandir"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Expandir,Líquido,Absorção (química),fd1d39bc-4aae-4661-af3a-2def6cd3564b
"O/a ""Expandir"" é um/uma Efeito, que no/na Sólido causa Absorção (química).",Efeito,Expandir,Sólido,Absorção (química),9c57e423-535d-4310-8936-6d08956b6e7c
"O/a ""Expandir"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Expandir,Sólido dividido,Absorção (química),5f27e9e6-aa20-42c1-b07a-71343877ef0c
"O/a ""Extrair"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Extrair,Gás,Absorção (química),af665340-f036-40c4-941f-4c417ceed91e
"O/a ""Extrair"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Extrair,Líquido,Absorção (química),4e12fbf8-ddf9-4a87-ab29-34ef7d0ccab8
"O/a ""Extrair"" é um/uma Efeito, que no/na Sólido causa Absorção (química).",Efeito,Extrair,Sólido,Absorção (química),8ebc1cac-b23b-464b-9d38-7138f6dbb2b1
"O/a ""Juntar"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Juntar,Gás,Absorção (química),adfb0d63-4f0e-40e0-bbf7-79c45c628c0e
"O/a ""Juntar"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Juntar,Líquido,Absorção (química),44e2f7fe-4f23-4bec-b8bb-9f44e716199b
"O/a ""Juntar"" é um/uma Efeito, que no/na Sólido causa Absorção (química).",Efeito,Juntar,Sólido,Absorção (química),4198bd74-728d-4b62-b27a-caf58b443ef8
"O/a ""Juntar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Juntar,Sólido dividido,Absorção (química),d8c32caa-8abb-4f42-8990-2184ff4e2bb6
"O/a ""Limpar"" é um/uma Efeito, que no/na Campo causa Absorção (química).",Efeito,Limpar,Campo,Absorção (química),001cdf05-f263-45d8-80d2-1f6a6ce044e5
"O/a ""Limpar"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Limpar,Gás,Absorção (química),9b46875b-999a-4264-aee0-ce5d48ce9bea
"O/a ""Limpar"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Limpar,Líquido,Absorção (química),e4104f8e-a2f3-42f2-a911-c906f9bb2bae
"O/a ""Limpar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Limpar,Sólido dividido,Absorção (química),0baea1a0-5832-4ebd-9826-7400b236a22f
"O/a ""Mover"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Mover,Gás,Absorção (química),bfda17eb-aa61-4a83-8403-9c90767280ff
"O/a ""Mover"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Mover,Líquido,Absorção (química),f2e84752-79d6-4e92-a07c-3288aea3d25b
"O/a ""Mudar de fase"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Mudar de fase,Sólido dividido,Absorção (química),7c0a425c-0bc2-456d-b209-dbe83c5ee303
"O/a ""Proteger"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Proteger,Gás,Absorção (química),ae57f3dd-7ad9-4139-9878-729c93768144
"O/a ""Proteger"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Proteger,Líquido,Absorção (química),32d4ac89-21f6-42de-b3b8-61fc91c51e56
"O/a ""Proteger"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Proteger,Sólido dividido,Absorção (química),08f8120a-11f5-4c66-8f63-12e6a4f1c50f
"O/a ""Purificar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Purificar,Sólido dividido,Absorção (química),dbbfa123-f228-4b8a-a410-8e06f76c8b70
"O/a ""Remover"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Remover,Gás,Absorção (química),00898a6a-7415-4419-a894-620c0f8af6a3
"O/a ""Remover"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Remover,Líquido,Absorção (química),7839fc9f-6441-414b-b916-1e9043f99d2e
"O/a ""Secar"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Secar,Gás,Absorção (química),40d67717-848d-45b0-9412-023596249946
"O/a ""Secar"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Secar,Líquido,Absorção (química),8e3e6bdb-f002-4f05-8e9e-de0f6db4e848
"O/a ""Secar"" é um/uma Efeito, que no/na Sólido causa Absorção (química).",Efeito,Secar,Sólido,Absorção (química),75ca2bea-e27c-44cd-a25f-068a19e8bb54
"O/a ""Segurar"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Segurar,Gás,Absorção (química),0bdbda1a-ece2-4ec6-92ef-12a471f04565
"O/a ""Segurar"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Segurar,Líquido,Absorção (química),2684a371-c0d8-4936-a5aa-bdc87a0ed95d
"O/a ""Segurar"" é um/uma Efeito, que no/na Sólido dividido causa Absorção (química).",Efeito,Segurar,Sólido dividido,Absorção (química),207a6a73-7b9d-4b05-a415-296a64d64069
"O/a ""Separar"" é um/uma Efeito, que no/na Gás causa Absorção (química).",Efeito,Separar,Gás,Absorção (química),2095447b-a899-4153-9c0d-4f3376d7d098
"O/a ""Separar"" é um/uma Efeito, que no/na Líquido causa Absorção (química).",Efeito,Separar,Líquido,Absorção (química),5cfc2804-0780-43fe-a5f8-555231492a95
"O/a ""Absorver"" é um/uma Efeito, que no/na Campo causa Absorção acústica.",Efeito,Absorver,Campo,Absorção acústica,b6271491-aefb-4267-81ea-5f1ae1310ffa
"O/a ""Aquecer"" é um/uma Efeito, que no/na Sólido causa Absorção acústica.",Efeito,Aquecer,Sólido,Absorção acústica,b96a7689-76ce-4d68-a209-8539894d44ee
"O/a ""Aquecer"" é um/uma Efeito, que no/na Sólido dividido causa Absorção acústica.",Efeito,Aquecer,Sólido dividido,Absorção acústica,afab33b5-2e21-4951-b4d9-6ac42080a597
"O/a ""Destruir"" é um/uma Efeito, que no/na Campo causa Absorção acústica.",Efeito,Destruir,Campo,Absorção acústica,4b0f4852-ffb5-4b73-9322-c97ad501795c
