id_pedido,data_deposito,titulo,ipc,url,resumo,classifica_ipc,titulo_english,match_top_10_title,kind_effect,task,object,physical_effect,derived_from,titulo_lemmatized,match_top_10_vec_distance_tasks
BR 10 2020 003414 6,18/02/2020,"PROCESSO DE PRODUÇÃO DE FILME NANOCELULÓSICO, FILME NANOCELULÓSICO E USO DE FILME NANOCELULÓSICO",C08J 5/22,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1559031&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"A presente invenção descreve um processo de produção de um filme nanocelulósico, com maior entrelaçamento das nanofibrilas de celulose, aumentando a resistência à tração. Em uma concretização, a presente invenção compreende o uso de polpa celulósica não-branqueada de Acacia mearnsii para a produção do filme nanocelulósico. A presente invenção se situa nos campos da Química, Engenharia de Materiais e Florestal.",  C08J 5/22 ;  C08L 97/00 ;  D21H 11/08 ;  D21B 1/14,"Process of production of nanocellular film, nanocellular film and use of nanocellular film","{'Produce', 'Move', 'Prevents', 'Break Down', 'Concentrate', 'Change Phase'}",,Produzir,Filme nanocelulósico,Entrelaçamento de nanofibrilas,"O/a ""Resistir"" atua no/na Campo para produzir um/uma Nanocompósito.",processo producao filme nanocelulosico filme nanocelulosico uso filme nanocelulosico,{'produzir'}
BR 11 2021 015648 8,10/02/2020,COMPOSIÇÕES ELASTOMÉRICAS E MÉTODOS DE USO,B33Y 70/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1622223&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,. São divulgadas composições compreendendo uma combinação de pré-polímeros de baixo peso molecular e pré-polímeros de alto peso molecular. As composições podem ser usadas para fabricar artigos elastoméricos tendo uma alta resistência a tração e um alto alongamento a tração.,  B33Y 70/00 ;  B33Y 80/00 ;  C08G 18/10 ;  C08G 18/24 ;  C08G 18/32 ;  C08G 18/48 ;  C08G 18/50 ;  C08G 18/61 ;  C08G 18/69 ;  C08G 18/75 ;  C08L 23/08,Elastomeric compounds and methods of use,"{'Produce', 'Freeze', 'Deposit', 'Remove', 'Break Down', 'Change Phase', 'Accumulate', 'Melt', 'Absorb', 'Join'}",,Fabricar,Artigo elastomérico,Aumento da resistência à tração,"O/a ""Comprimir"" atua no/na Líquido para produzir um/uma Polímero eletroativo.",composicao elastomerico metodo uso,{'produzir'}
BR 20 2020 003935 6,27/02/2020,DISPOSIÇÃO CONSTRUTIVA APLICADA EM SUPORTE DE FIXAÇÃO DE MÓDULOS FOTOVOLTAICOS,F24S 25/634,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1561279&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". É descrita a patente de modelo de utilidade pertencente ao campo dos equipamentos para suporte de módulos fotovoltaicos utilizados na transformação de energia, que compreende um pontalete (1) composto por um corpo de formato triangular levemente inclinado e provido de dois furos passantes ortogonais, sendo um furo (2) na base e outro furo (3) na região inclinada. Regulador primário (4) composto por um corpo de formato triangular levemente inclinado e provido de dois furos passantes ortogonais, sendo um furo (5) na base e outro furo (6) na região inclinada. Regulador secundário (7) composto por um corpo de formato triangular em ângulo reto e provido de dois furos passantes ortogonais, sendo um furo (8) na base e outro furo (9) na região inclinada. Tubo (10) anterior de seção retangular provido de duas furações (13). Tubo posterior (11) provido de duas furações (14). Tubo posterior (12) provido de quatro furações (15). Sendo os tubos (11) e (12) que formam o telescópio de regulagem de seção retangular.",  F24S 25/634,Construction equipment applied to support the fixation of photovoltaic modules,"{'Move', 'Break Down', 'Expand', 'Change Phase', 'Hold', 'Join', 'Protect'}",,Detectar,Sólido dividido,dispositivo betavoltaico,,disposicao construtivo aplicar suporte fixacao modulo fotovoltaico,"{'concentrar', 'incorporar'}"
BR 10 2020 001395 5,22/01/2020,COMPOSIÇÃO E PROCESSO DE PREPARO PARA OBTENÇÃO DE PÃO INTEGRAL SEM GLÚTEN,A21D 13/04,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1547847&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Tratou a presente solicitação de patente de invenção a uma composição e processo de preparo para obtenção de pão integral sem glúten, aplicada ao campo de formulações de massas para preparo de produto de panificação, que utiliza como ingredientes fécula de mandioca, farinha de soja, açúcar, farinha de mandioca, fermento biológico, ovo desidratado, linhaça, farinha de linhaça, sal, goma xantana e hidroxipropilmetilcelulose e propionato de cálcio, óleo de soja e água.",  A21D 13/04 ;  A21D 13/066,Composition and process of preparation for obtaining gluten-free whole bread,"{'Produce', 'Move', 'Break Down', 'Concentrate', 'Change Phase', 'Separate', 'Dry'}",,Preparar,Massa de pão integral sem glúten,Gelificação,"O/a ""Orientar"" atua no/na Sólido dividido para produzir um/uma Nanocompósito.",composicao processo preparo obtencao pao integral gluten,{'orientar'}
BR 11 2021 014619 9,20/02/2020,PROCESSO E UNIDADE DE LINHA DE FIAÇÃO PARA FORMAR UM FEIXE DE FIBRA,D01F 2/02,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1620294&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Um processo para formar um feixe de fibra envolve um procedimento de fiação a úmido que compreende as etapas de: dissolução da polpa de celulose em um solvente aquoso alcalino para formar uma composição de dope de fiação de celulose, fiação da composição de dope de fiação de celulose em um banho de coagulação com um pH de mais de 7,0, preferivelmente um pH de pelo menos 10, para produzir um feixe de fibra, e passagem do feixe de fibra produzido através de uma sequência de etapas consecutivas de estiramento e lavagem em que o feixe de fibra formado é lavado com um líquido de lavagem por um procedimento de lavagem de fluxo em contracorrente.",  D01F 2/02 ;  C08B 16/00 ;  D01D 5/06 ;  D01F 1/10,Process and unity of FIACION LINE to form a FIBRA FIX,"{'Move', 'Break Down', 'Remove', 'Expand', 'Change Phase', 'Hold', 'Join', 'Protect'}",,Formar,Feixe de fibra,Coagulação,"O/a ""Produzir"" atua no/na Sólido dividido para produzir um/uma Floculação.",processo unidade linha fiacao formar feixe fibra,{'preservar'}
BR 11 2021 013682 7,16/01/2020,"CHAPA DE AÇO ELÉTRICO DE GRÃO ORIENTADO, E, MÉTODO PARA FABRICAR UMA CHAPA DE AÇO ELÉTRICO DE GRÃO ORIENTADO",C23C 22/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1618676&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Essa chapa de aço elétrico de grão orientado não tem um revestimento inorgânico com forsterita como um componente principal do mesmo, a chapa de aço elétrico de grão orientado que é provida com uma chapa de aço de base tendo um componente químico predeterminado, uma camada de óxido contendo sílica provida sobre a chapa de aço de base, uma camada de óxido à base de ferro provida sobre a camada de óxido contendo sílica, e um revestimento de isolamento de tensão que é provido sobre a camada de óxido contendo sílica, e um revestimento de isolamento que confere tensão que é provido sobre a camada de óxido à base de ferro, e que tem uma espessura de 1 a 3 µm e tem fosfato e sílica coloidal como componentes principais dos mesmos. Quando a análise elementar por espectrometria de emissão óptica de descarga luminescente é realizada na direção de espessura de chapa da superfície do revestimento de isolamento que confere tensão, o pico de intensidade de emissão de Si satisfaz uma condição predeterminada.",  C23C 22/00 ;  C21D 8/12 ;  C21D 9/46 ;  C22C 38/00 ;  C22C 38/60 ;  C23C 22/08 ;  C23C 22/78 ;  C23C 28/04,"Grass-Oriented Electric Acetate, and, Method for Making a Grass-Oriented Electric Acetate","{'Produce', 'Move', 'Break Down', 'Change Phase', 'Cool', 'Heat', 'Hold'}",,Isolar,Chapa de aço elétrico de grão orientado,Redução da condutividade elétrica superficial,"O/a ""Orientar"" atua no/na Sólido dividido para produzir um/uma Indução eletrostática.",chapa aco eletrico grao orientar metodo fabricar chapa aco eletrico grao orientar,{'orientar'}
BR 10 2020 002142 7,31/01/2020,CAIXA TÉRMICA COM MANTA DE ABSORÇÃO PARA RETENÇÃO DE UMIDADE,B65D 81/38,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1551923&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Caixa térmica produzida em papelão ondulado, isolante térmico reciclável e personalizável. Possui manta de absorção para controle e retenção da umidade gerada pela condensação do vapor de água. É destinada ao transporte de produtos termossensíveis, se adequa as necessidades do transporte e ao dimensional dos produtos. A manta de absorção retém toda a umidade produzida no interior da embalagem, evitando vazamentos para o material isolante, protegendo o produto transportado e aumentando a segurança no transporte. Produzida com materiais recicláveis e com ausência de poliestireno expandido (EPS). A estrutura é formada por 4 partes: caixa externa, revestimento interno, isolante em fibra reciclável e manta de absorção de umidade. Possui formato planificado, ou seja, ao ser desmontada pode ser organizada na forma de um só plano, transportado desmontada, reduzindo assim a cubagem, volume de estoque, diminui custos logísticos e o impacto ambiental.",  B65D 81/38 ;  B65D 81/26 ;  F16L 59/02 ;  F25D 3/08 ;  B65D 5/22,Thermal box with absorption hand for humidity retention,"{'Move', 'Break Down', 'Prevents', 'Separate', 'Heat', 'Hold', 'Dry', 'Melt', 'Absorb'}",,Reter,Umidade,Absorção,"O/a ""Absorver"" atua no/na Campo para produzir um/uma Isolante térmico.",caixa termico manta absorcao retencao umidade,{'absorver'}
BR 11 2021 020830 5,26/02/2020,PROCEDIMENTOS DE HARQ PARA CONCESSÕES CONFIGURADAS,H04L 1/18,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1631101&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". São descritas técnicas na presente invenção para métodos, sistemas, dispositivos e aparelhos aperfeiçoados que suportam procedimentos para concessões configuradas. em geral, as técnicas descritas podem se referir à limitação de um número de retransmissões utilizadas durante um processo de solicitação de repetição automática híbrida (HARQ) ou gerenciamento de conflitos de programação em potencial para o processo HRQ a partir de concessões dinâmicas e concessões configuradas. Um dispositivo (por exemplo, um equipamento de usuário) pode iniciar um temporizador ou um contador associado a um processo HARQ para indicar que tentativas de transmissão para o processo HARQ são permitidas. O dispositivo pode identificar uma ocasião de transmissão de uma concessão configurada em uma banda de espectro de frequência não licenciada que é associada ao processo HARQ e pode determinar que o temporizador associado ao processo HARQ está ativo. O dispositivo pode executar uma tentativa de transmissão através da ocasião de transmissão da concessão configurada com base na determinação de que o temporizador está ativo.",  H04L 1/18,HARQ procedures for configured concessions,"{'Produce', 'Freeze', 'Deposit', 'Remove', 'Break Down', 'Change Phase', 'Accumulate', 'Melt', 'Absorb', 'Join'}",,Transmitir,Sinal de dados,Propagação eletromagnética,O/a Configurar atua no/na Banda de transmissão para produzir um/uma Alocação de largura de banda.,procedimento Harq concessao configurar,{'orientar'}
BR 10 2020 001906 6,29/01/2020,PROCESSO PARA A OBTENÇÃO DE SABÃO LÍQUIDO COM ANTISSÉPTICO E SUA APLICAÇÃO.,C11D 3/48,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1550034&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"Compreende a presente patente de invenção a um processo para obtenção de um sabão liquido com antisséptico, utilizado para fazer uma limpeza na pele humana e como agente antimicrobiano e ação bactericida, tendo como principal princípio ativo o digluconato de clorexidina, desenvolvido para promover uma eficaz limpeza de preparação para pequenos procedimentos como: tatuagem, micropigmentação, botox e pequenos preenchimento, e na pele com ferimentos tem como objetivo, fazer uma delicada e eficaz limpeza promovendo os primeiros cuidados de higiene evitando e prevenindo infecções, inibindo a proliferação bacteriana.",  C11D 3/48 ;  C11D 1/90 ;  C11D 3/04 ;  C11D 1/66 ;  C11D 3/382,Process for obtaining liquid soap with antiseptic and its application.,"{'Break Down', 'Expand', 'Concentrate', 'Change Phase', 'Dilute', 'Heat', 'Evaporate', 'Dry', 'Melt'}",,Limpar,Pele humana,Ação bactericida,"O/a ""Purificar"" atua no/na Líquido para produzir um/uma Espuma reticulada.",processo obtencao sabao liquido antisseptico aplicacao,{'evaporar'}
BR 11 2021 013825 0,20/01/2020,RECIPIENTE BIODEGRADÁVEL OU MATERIAL DE PLACA E MÉTODO PARA A FABRICAÇÃO DOS MESMOS,D21H 27/10,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1618891&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A invenção refere-se a um recipiente biodegradável ou material de placa que compreende uma camada de material à base de celulose dotada de uma camada de superfície compósita que compreende material à base de celulose e um poliéster derivado a partir de um poliálcool alifático com 2-15 átomos de carbono e um ácido policarboxílico alifático com 3 a 15 átomos de carbono, em que o ácido policarboxílico compreende pelo menos 50% em peso de ácido tricarboxílico. O recipiente biodegradável ou material de placa de acordo com a invenção mostra uma ou mais, particularmente uma combinação, das seguintes propriedades: peso leve, alta resistência (úmida), um grau desejável de flexibilidade, boa resistência (temporária) contra água, óleo e gordura, e características visuais e táteis atraentes.",  D21H 27/10 ;  B65D 65/40 ;  B65D 65/42 ;  D21H 19/28,Biodegradable recipient or plaque material and method for manufacture of the same,"{'Produce', 'Move', 'Break Down', 'Change Phase', 'Separate', 'Hold'}",,Revestir,Material à base de celulose,Impermeabilização,"O/a ""Decompor"" atua no/na Líquido para produzir um/uma Biodestruição.",recipiente biodegradavel material placa metodo fabricacao mesmo,{'condensar'}
BR 11 2022 014661 2,18/02/2020,MÉTODO PARA PRODUZIR LIMONENO E COMPOSIÇÃO CONTENDO LIMONENO,C01B 39/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1670065&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A presente invenção refere-se a um método para produzir limoneno, compreendendo ou consistindo nas etapas a seguir: (a) fornecer beta-pineno ou um material de partida contendo beta-pineno; (b) misturar o material de partida com uma quantidade cataliticamente eficaz de zeólito do tipo MWW; (c) aquecer a mistura de reação para uma temperatura na faixa de entre 60 e 100°C, e opcionalmente (d) separar o limoneno ou a fração enriquecida com limoneno do cadinho.",  C01B 39/00 ;  C07C 5/31 ;  C07C 13/21,Method to produce lemon and composition containing lemon,"{'Produce', 'Move', 'Break Down', 'Remove', 'Expand', 'Change Phase', 'Hold', 'Join', 'Protect'}",,Aquecer,Mistura de beta-pineno e zeólito,Isomerização catalítica,"O/a ""Misturar"" atua no/na Líquido para produzir um/uma Olóide.",metodo produzir limoneno composicao conter Limoneno,{'produzir'}
BR 10 2020 002743 3,10/02/2020,USO DE CONDUTIVIDADE COMO UMA MEDIDA PROXY PARA SÓLIDOS SECOS EM CORRENTES DE EVAPORADOR DE VINHAÇA DE ETANOL,B01D 1/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1555288&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"""USO DE CONDUTIVIDADE COMO UMA MEDIDA PROXY PARA SÓLIDOS SECOS EM CORRENTES DE EVAPORADOR DE VINHAÇA DE ETANOL"". A presente invenção refere-se a um método para controlar e otimizar um processo de evaporação de vinhaça seca, o método fornecendo o monitoramento de uma condutividade de uma corrente de vinhaça para obter um valor de condutividade; correlacionar o valor de condutividade com um percentual de sólidos secos (%DS) presentes em um sistema de evaporador de vinhaça para obter um perfil de sólidos de evaporador; e utilizar o perfil de sólidos de evaporador para obter um perfil de sólidos de equilíbrio de massa de um sistema de evaporador de vinhaça seca para controlar e otimizar um processo de evaporação de sólidos secos.",  B01D 1/00 ;  B01D 1/26 ;  C12F 3/00,Use of Conductivity with a Proxy Measure for Dry Solids in Ethanol Vintage Evaporator Currents,"{'Remove', 'Break Down', 'Condense', 'Melt', 'Separate', 'Heat', 'Hold', 'Dry', 'Clean'}",,Monitorar,Vinhaça,Variação da condutividade elétrica,"O/a ""Evaporar"" atua no/na Sólido dividido para produzir um/uma Dessorção.",uso condutividade medida proxy solido seco corrente evaporador vinhaca etanol,{'secar'}
BR 20 2020 002851 6,10/02/2020,ANEL DE ANCORAGEM PARA CINTURÕES DE SEGURANÇA EM TECIDO,A62B 35/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1555918&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". É relatado no presente modelo de utilidade um anel de ancoragem para cinturões de segurança em tecido, constituído de uma fita tubular de tecido enrolada por três voltas sobre seu próprio eixo e costurada formando um anel de tecido para atuar como ponto de ancoragem em cinturões de segurança para ação ou trabalho em altura.",  A62B 35/00,Anchorage Ring for Safety Rings in Tissue,"{'Move', 'Break Down', 'Prevents', 'Change Phase', 'Separate', 'Hold', 'Dry', 'Detect', 'Protect'}",,Ancorar,Cinturão de segurança,Distribuição de força,O/a Pré-tensionar atua no/na Cinto de segurança para produzir um/uma Aumento da tensão.,anel ancoragem cinturao seguranca tecido,{'segurar'}
BR 11 2021 013926 5,20/01/2020,INIBIDORES DE TIROSINA COM ATIVIDADE IMUNOSSUPRESSORA EM PROGENITORES DE QUERATINÓCITOS NEONATAIS HUMANOS,A61K 38/08,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1619093&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". As modalidades referem-se a inibidores de tirosina que exibem atividade imunossupressora em progenitores de queratinócitos neonatais humanos. Modalidades particulares apresentam os efeitos imunossupressores de um decapeptídeo e/ou oxiresveratrol, conforme medido por dois métodos diferentes: bloqueio do crescimento celular estimulado e inibição do extermínio citotóxico.",  A61K 38/08 ;  A61P 29/00,Tirosin inhibitors with immunosuppressive activity in human neonatal queratinocytes,"{'Produce', 'Freeze', 'Deposit', 'Remove', 'Break Down', 'Change Phase', 'Accumulate', 'Melt', 'Absorb', 'Join'}",,Preservar,Célula-tronco,Inibição da degradação celular,"O/a ""Preservar"" atua no/na Sólido para produzir um/uma Gel.",inibidor tirosina atividade imunossupressora progenitor queratinocito neonatal humano,{'orientar'}
BR 20 2020 000214 2,06/01/2020,DISPOSIÇÃO CONSTRUTIVA EM DISPOSITIVO BLOQUEADOR DE CHAVES EM REDES ELÉTRICAS,H01H 27/08,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1542068&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,,,Installation of key blocker on electrical networks,"{'Move', 'Break Down', 'Expand', 'Change Phase', 'Heat', 'Hold'}",,Bloquear,Chave elétrica,Impedimento de acionamento,"O/a ""Segurar"" atua no/na Sólido dividido para produzir um/uma Campo elétrico.",disposicao construtivo dispositivo bloqueador chave rede eletrico,"{'preservar', 'incorporar'}"
BR 11 2021 017224 6,24/02/2020,"FILTRO DE DISCO ROTATIVO, E, MÉTODO PARA FILTRAR UM LÍQUIDO E RETROLAVAR MEIO FILTRANTE",B01D 33/23,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1625149&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Um filtro de disco rotativo inclui um ou mais discos de filtro fixados a um tambor rotativo (40) e inclui uma série de guias de retrolavagem circunferencialmente afastadas (12) dispostas no disco de filtro. Durante a retrolavagem, a função de guias de retrolavagem para engatar uma mistura de retrolavagem e sólidos suspensos e guiar ou direcionar a mistura a uma calha de sedimento disposta no filtro de disco. As guias de retrolavagem em geral asseguram que uma maior porcentagem da mistura de retrolavagem e sólidos suspensos acabem na calha de sólidos.",  B01D 33/23 ;  B01D 33/50,"Routing Disk Filter, and, Method for Filtering a Liquid and Returning Medium Filter","{'Break Down', 'Concentrate', 'Change Phase', 'Dilute', 'Heat', 'Evaporate', 'Dry', 'Melt'}",,Filtrar,Líquido,Separação de sólidos suspensos,"O/a ""Girar"" atua no/na Líquido para produzir um/uma Centrífuga.",filtro disco rotativo metodo filtrar liquido retrolavar filtrante,{'remover'}
BR 11 2021 012217 6,29/01/2020,"SISTEMAS, APARELHOS E MÉTODOS PARA MONITORAR CARACTERÍSTICAS DE SOLO E DETERMINAR A COR DO SOLO",A01B 79/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1616123&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A presente invenção refere-se a sistemas, aparelhos e métodos para o monitoramento agrícola de características de solo e determinação da cor do solo que são descritos aqui. Em um exemplo, um método de cálculo de dados de cor de solo inclui a obtenção, com sensores de um aparelho de solo, das medições do solo. O método inclui, adicionalmente, o cálculo dos valores de cor de solo em um espectro visível incluindo pelo menos um dos valores de cor vermelha, verde e azul, com base nas medições de solo e determinação dos dados de cor para pelo menos uma imagem colorida sem artefatos de imagem falsos com base nos valores de cor de solo calculados e coordenadas associadas dentro de um campo agrícola.",  A01B 79/00 ;  A01B 79/02 ;  A01C 5/06 ;  A01C 21/00,"Systems, Apparels and Methods for Monitoring the Characteristics of the Solo and Determining the Color of the Solo","{'Move', 'Break Down', 'Hold', 'Change Phase'}",,Monitorar,Solo,Reflexão da luz visível,O/a Monitorar atua no/na Vinhaça para produzir um/uma Variação da condutividade elétrica.,sistema aparelho metodo monitorar caracteristica solo determinar cor solo,{'detectar'}
BR 11 2021 012865 4,19/02/2020,"PARAFUSO ORTODÔNTICO, APARELHO ORTODÔNTICO, APARELHO ORTOPÉDICO PARA ODONTOLOGIA, E PROCESSO",A61C 7/10,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1617203&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A invenção refere-se a um parafuso ortodôntico e a um conjunto de elementos para formar um aparelho ortodôntico ou ortopédico para odontologia, bem como um método para fabricar um aparelho ortodôntico ou ortopédico para odontologia. O parafuso ortodôntico (2) compreende dois corpos (20) ligados por meios de posicionamento (21, 22) projetados para permitir que a distância entre os corpos (20) seja ajustada; os corpos (20) têm um assento (23) adaptado para receber uma porção (30, 31) de uma estrutura de ligação (3, 4) associável ao parafuso ortodôntico para sua ligação com os dentes de uma arcada dentária; o assento (23) consiste em um entalhe (23) formado em uma superfície externa dos corpos (20), de modo que a porção (30, 31) da estrutura de ligação (3, 4) possa ser inserida no assento (23) através de um deslocamento (Y) ortogonal ao mesmo assento (23).",  A61C 7/10,"Orthodox Paraphus, Orthodox Apparatus, Orthodox Apparatus for Odontology, and Process","{'Produce', 'Move', 'Break Down', 'Prevents', 'Concentrate', 'Change Phase', 'Separate', 'Protect'}",,Ajustar,Distância entre corpos do parafuso ortodôntico,Movimento mecânico linear,"O/a ""Montar"" atua no/na Sólido para produzir um/uma Mechanical Fastener(thread, twist, etc).",parafuso ortodontico aparelho ortodontico aparelho ortopedico odontologia processo,{'comprimir'}
BR 10 2020 003940 7,27/02/2020,EMISSOR DE RAIOS-X INTEGRADO A REFLETOR ODONTOLÓGICO,A61B 6/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1561278&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Trata a presente patente de invenção de um emissor de raios-x integrado a refletor odontológico, que se aplica ao campo de diagnóstico por imagem para odontologia, mais especificamente aos arranjos físicos, mecânicos, eletroeletrônicos e ergonômicos necessários para a integração de um emissor de raios-x a um refletor odontológico. A invenção compreende um cabeçote (100) capaz de desempenhar as funções de iluminação e emissão de raios-x, composto por um conjunto iluminador (200), por um conjunto emissor de raios-x (300) localizado em face oposta, um sistema de posicionamento (400), contendo pelo menos um mecanismo de articulação, pelo menos um meio de controle (500) das funções do equipamento e pelo menos um sistema de segurança.",  A61B 6/00 ;  A61B 6/04 ;  A61B 6/08 ;  A61B 6/14 ;  A61C 17/34,X-ray emitter integrated with odontological reflector,"{'Produce', 'Break Down', 'Expand', 'Change Phase', 'Cool', 'Separate', 'Hold', 'Clean', 'Join'}",,Emitir,Raios-X,Radiação eletromagnética,"O/a ""Detectar"" atua no/na Sólido dividido para produzir um/uma Raios X.",emissor raiosx integrar refletor odontologico,{'produzir'}
