id_pedido,data_deposito,titulo,ipc,url,resumo,classifica_ipc
BR 11 2021 018643 3,02/03/2020,CONJUNTO DE ESPAÇOS DE PESQUISA PARA SINAL DE ATIVAÇÃO,H04W 52/02,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1627673&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  CONJUNTO DE ESPAÇOS DE PESQUISA PARA SINAL DE ATIVAÇÃO. Vários aspectos da presente revelação geralmente se referem à comunicação não cabeada. Em alguns aspectos, um equipamento do usuário (UE) pode monitorar um conjunto de espaços de pesquisa de sinal de ativação (WUS-SS) para um sinal de ativação (WUS) de canal físico compartilhado de downlink (PDCCH). O UE pode detectar o PDCCH WUS no conjunto WUS-SS baseado pelo menos em parte em monitorar o conjunto WUS-SS. Vários outros aspectos são proporcionados.",  H04W 52/02
BR 10 2020 004211 4,02/03/2020,CONJUNTO PARA MEDIÇÃO DE VAZÃO DE FLUIDO ATRAVÉS DE REGISTRO DE GAVETA,G01F 3/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1562029&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  CONJUNTO PARA MEDIÇÃO DE VAZÃO DE FLUIDO ATRAVÉS DE REGISTRO DE GAVETA. O conjunto de acordo com a presente invenção compreende: um registro de gaveta (válvula), um sensor e instrumentação auxiliar composta por um sistema de aquisição e processamento de sinais. A vantagem da presente invenção reside no fato de que os registros de gaveta pré-existentes podem ser instrumentados para fornecerem a informação de vazão diretamente, sem a necessidade de interferências estruturais para instalação de novos medidores, representando assim um fator de praticidade no que diz respeito ás tecnologias alternativas, superando os hidrômetros convencionais.",  G01F 3/00 ;  G01L 23/10 ;  F16K 3/00
BR 11 2021 020583 7,02/03/2020,DESCONFIGURAÇÃO DE HANDOVER CONDICIONAL (CHO) E TRATAMENTO DE FALHAS EM COMUNICAÇÕES SEM FIO,H04W 36/36,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1630742&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DESCONFIGURAÇÃO DE HANDOVER CONDICIONAL (CHO) E TRATAMENTO DE FALHAS EM COMUNICAÇÕES SEM FIO. Métodos, sistemas e dispositivos para comunicações sem fio são descritos para gerenciamento de configurações de handover condicional (CHO). Uma estação base de origem pode configurar um equipamento de usuário (UE) com uma ou mais configurações de CHO para múltiplas estações base de destino. As configurações de CHO podem fornecer, para cada estação base de destino, uma ou mais condições associadas que podem acionar o UE para iniciar uma transferência para a estação base de destino particular, ou para desconfigurar uma configuração de CHO, tal como com base em um limite de medição de um ou mais medições de estação base de destino, uma ou mais medições de estação base de origem ou combinações das mesmas. As configurações de CHO também podem incluir informações de manuseio de falha para iniciar uma ou mais transferências subsequentes em resposta a uma falha de uma tentativa de transferência inicial.",  H04W 36/36 ;  H04W 36/00 ;  H04W 36/08 ;  H04W 36/24
BR 11 2021 010031 8,02/03/2020,"DISCO DE SINO, DISPOSITIVO DE LIMPEZA DO TIPO ATOMIZADOR E MÉTODO DE OPERAÇÃO ASSOCIADA",B05B 3/10,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1612633&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DISCO DE SINO, DISPOSITIVO DE LIMPEZA DO TIPO ATOMIZADOR E MÉTODO DE OPERAÇÃO ASSOCIADA. A invenção se refere a um disco de sino (1) para um atomizador rotativo para aplicação de um agente de revestimento (por exemplo, tinta) a um componente (por exemplo, componente de corpo de veículo automotivo). O disco de sino (1) de acordo com a invenção compreende um corpo de base metálico (3) e um transponder (13), que pode ser lido por conexão sem fio e é integrado no disco de sino (1). A invenção fornece que o transponder (13) é disposto sobre o lado frontal no corpo da base (3) ou é embutido na superfície circunferencial externa exterior (12) do disco de sino (1), que facilita a leitura do transponder (13). Ademais, a invenção compreende um dispositivo de limpeza de atomizador adaptado apropriadamente tendo uma antena para leitura do transponder (13) no disco de sino (1). Finalmente, a invenção também compreende um método de operação correspondentemente adaptado.",  B05B 3/10
BR 20 2020 004170 9,02/03/2020,DISPOSIÇÃO CONSTRUTIVA EM PAINEL ELETRÔNICO VOADOR,G09F 21/10,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1561968&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DISPOSIÇÃO CONSTRUTIVA EM PAINEL ELETRÔNICO VOADOR. É descrita uma disposição construtiva em painel eletrônico voador, objeto do presente modelo de utilidade, tem como objetivo resolver os inconvenientes descritos no estado da técnica através de um painel eletrônico de LED (20), fabricado em silicone, com armação em fibra que será fixado a um veículo aéreo não tripulado (10), tipo drone ou similar, para promover a divulgação de materiais publicitários. O painel (20) desenvolvido é fixado na porção superior do drone (10) de forma a manter a estrutura rígida e estabilizada junto ao veiculo aéreo, sendo dotado por um software de controle que permite ao usuário gerenciar as informações de mídia, tempo e locais de voo através de um APP que controla todo o sistema remotamente. Esta nova forma construtiva permite a divulgação de mídias de vídeo ou imagens estáticas em um painel de LED (20) sobreposto a um drone (10) de alta capacidade de carga e que apresenta um tempo de voo longo, possibilitando maior variabilidade na apresentação das mídias e um melhor controle dos pontos de divulgação, atingindo diretamente o público desejado, de modo a reduzir o custo de divulgação e evitar o impacto ambiental, podendo atingir locais no qual não seria possível uma instalação de outdoor, como em praias ou lagoas.",  G09F 21/10
BR 11 2021 017470 2,02/03/2020,DISPOSITIVO DE COLETA DE URINA COM MÚLTIPLAS CÂMARAS,A61F 5/44,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1625598&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DISPOSITIVO DE COLETA DE URINA COM MÚLTIPLAS CÂMARAS. Um dispositivo de coleta de urina com múltiplas câmaras plano de fácil utilização, compreendendo uma porta de entrada tendo uma válvula anti-retorno, uma câmara superior dividida adicionalmente em uma pluralidade de câmaras verticais, uma câmara inferior dividida ainda em uma pluralidade de câmaras verticais, uma pluralidade de áreas abertas para respiração intervindo nas ditas câmaras superior, inferior e verticais, e um tubo de drenagem. A porta de entrada é posicionada na parte superior da câmara superior, dita porta de entrada, por sua vez, é conectada de modo removível a um cateter. As áreas abertas para respiração entre as câmaras verticais das referidas câmaras superior e inferior permitem que o dispositivo de coleta de urina se adapte à forma do corpo do paciente. Além disso, as câmaras distribuem o peso da urina coletada igualmente para evitar o efeito de protuberância. Alternativamente, o dispositivo de coleta de urina tem camada absorvente inserta para absorver a secreção corporal.",  A61F 5/44 ;  A61F 5/442
BR 11 2021 020249 8,02/03/2020,DISPOSITIVO DE MANIPULAÇÃO DE TRONCO E MÉTODO PARA MANIPULAÇÃO DE TRONCO,B27B 25/02,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1630158&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DISPOSITIVO DE MANIPULAÇÃO DE TRONCO E MÉTODO PARA MANIPULAÇÃO DE TRONCO. Um dispositivo de manipulação de tronco (1), compreendendo um rotor giratório (3) fornecido com meio de manipulação de tronco (4), e um meio de alimentação (5) fixado ao rotor (3) para conduzir um meio operacional ao meio de manipulação de tronco (4). O meio de alimentação (5) está posicionado para se enrolar ao redor do rotor (3) quando o rotor (3) é girado ema uma primeira direção, e cujo meio de alimentação (5) está posicionado para se desenrolar do rotor (3) quando o rotor (3) é girado em uma segunda direção. O dispositivo de manipulação de tronco (1 compreende um segundo rotor giratório (6) ao qual o meio de alimentação (5) está fixado, e um dispositivo operacional para girar o segundo rotor (6) sincronizadamente com o rotor (3), de modo que o meio de alimentação (5) seja posicionado para se enrolar ao redor do segundo rotor (6) quando o rotor (3) é girado na segunda direção, e de modo que o meio de alimentação (5) seja posicionado para se desenrolar do segundo rotor (6) quando o rotor (3) é girado na primeira direção.",  B27B 25/02 ;  B27B 31/00 ;  F16L 3/01 ;  F16L 57/06 ;  H02G 11/02
BR 11 2021 015029 3,02/03/2020,DISPOSITIVO DE PERFURAÇÃO PARA ARTIGO DE INALADOR,A61M 15/06,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1621017&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,  DISPOSITIVO DE PERFURAÇÃO PARA ARTIGO DE INALADOR. A presente invenção refere-se a um dispositivo de perfuração (150) contendo um elemento de perfuração recuado (160) e sendo configurado para receber uma extremidade distal (118) de um artigo de inalador (110). O elemento perfurante perfura ou perfura um único orifício em uma cápsula contida dentro do artigo inalador quando o artigo inalador está assentado em uma cavidade do artigo inalador (157) do dispositivo de perfuração. O dispositivo de perfuração inclui um elemento de marcação (170) que se estende para a cavidade do artigo de inalador a partir da superfície interna do alojamento (152). O elemento de marcação é configurado para marcar uma superfície externa de um dispositivo inalador quando o dispositivo inalador é recebido dentro da cavidade do artigo inalador. O elemento de marcação se estende ortogonalmente ao eixo longitudinal do elemento de perfuração.,  A61M 15/06 ;  A61M 15/00 ;  A24F 42/20
BR 11 2021 021346 5,02/03/2020,DISTRIBUIÇÃO DE INDICADOR DE CONTROLE DE ENLACE DESCENDENTE PARA PROGRAMAÇÃO DE PORTADORA CRUZADA,H04L 1/18,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1632045&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DISTRIBUIÇÃO DE INDICADOR DE CONTROLE DE ENLACE DESCENDENTE PARA PROGRAMAÇÃO DE PORTADORA CRUZADA. Os aspectos se referem a comunicações sem fio que utilizam programação de portadora cruzada. Os métodos e o aparelho incluem gerar pelo menos uma partição em um canal de controle a partir de uma célula de programação, sendo que a pelo menos uma partição inclui uma pluralidade de segmentos de canal de controle, tais como segmentos PDCCH, que são dispostos nos respectivos tempos dentro da pelo menos uma partição. Cada um dos segmentos de canal de controle inclui informações de controle, tais como DCIs que correspondem às respectivas partições para uma célula programada. A distribuição das informações de canal de controle nos segmentos ou intervalos ao longo do tempo produz temporização de decodificação aprimorada em um UE na célula programada.",  H04L 1/18 ;  H04W 72/12
BR 11 2021 014286 0,02/03/2020,DISTRIBUIDOR PARA DISTRIBUIÇÃO DE MASSAS FLUIDAS,B05B 11/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1619720&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  DISTRIBUIDOR PARA DISTRIBUIÇÃO DE MASSAS FLUIDAS. Distribuidor (1) de massas (M) fluidas, por exemplo, líquidas ou pastosas, com reservatório (2) para recepção da massa (M), e bomba de distribuidor (6) formada em construção modular, onde distribuidor apresenta eixo longitudinal (x), onde a bomba de distribuidor (6) ainda apresenta canal de entrada e canal de saída (12, 13) e câmara de bomba (11) delimitada através de válvulas (14, 15) no lado de entrada e de saída, bem como peça de topo (5), que apresenta desembocadura de distribuição (23) e canal de distribuição (22), onde ainda, a bomba de distribuidor é inserível no reservatório e ligável ao reservatório por ligação de travamento, onde ainda, a câmara de bomba é formada através de êmbolo (8) e parte de panela (9) que apresenta fundo de panela (29) e parede de panela (17), onde êmbolo é recebido deslizante na parte de panela, para obter curso de bomba (b), onde ainda, parte de panela apresenta conformações de fixação, para cooperação de fixação com parede interna do reservatório, onde ligação de travamento (30) está reforçada por a ligação de travamento se dar através de dois rebordos de travamento (31, 32) distanciados na direção vertical em relação a um corte longitudinal através do distribuidor e se projetam radialmente para fora. Para aperfeiçoar mais distribuidor em relação à fixação, ambos rebordos de travamento estão formados com arredondamento de introdução (37) no lado do reservatório, mas, no lado da peça de topo, com superfície de encosto (38) substancialmente horizontal, em relação à seção longitudinal.",  B05B 11/00
